Vessel,Expedition_Leg,Science program,Start date,Start port city,Start port country,End date,End port city,End port country,Total (days),In port (days),In transit (days),On site (days),Off site (days),"Coring, drilling, tripping (days)",Logging & downhole tools (days),"Reentry, casing, cementing (days)",Remedial action (days),"Engineering, completion, CORK (days)","Lost time [weather, repairs] (days)",Other (days),Sites,Holes,Cores,Distance traveled (nmi),Average transit speed (kn),Total penetration (m),Interval drilled (m),Interval cored (m),Core recovered (m),Recovery (%),Maximum water depth (m),Minimum water depth (m),Seafloor camera deployments,Reentries,Staff Scientist*,Operations Superintendent*,Lab Officer,Curator*,Co-chiefs
GLOMAR CHALLENGER,11,Western North Atlantic Paleoenvironment,5-Apr-70,Miami,USA,1-Jun-70,Hoboken,USA,57.03,3.49,9.54,41.83,,33.62,,,,,0.21,8.21,11,15,153,2149,9.4,6159,,1325,633,47.8,,,,,,James Dawson,Ted Gustafson/Michael Lehman,,John Ewing & Charles Hollister
GLOMAR CHALLENGER,11C,Re-entry System Sea Trials,1-Jun-70,Hoboken,USA,16-Jun-70,Boston,USA,16,,,,,,,,,,,,,,,,,,,,,,,,,,,Valdemar Larson,,,
GLOMAR CHALLENGER,12,North Atlantic Evolution and Crustal Age,16-Jun-70,Boston,USA,11-Aug-70,Lisbon,Portugal,54,,,,,,,,,,,,9,13,,4215,,5903,,1449,838.35,57.2,4911,1048,,,,William Allinder,Michael Lehman,,William Berggren & Anthony Laughton
GLOMAR CHALLENGER,13,Mediterranean Sea Origin and Development,11-Aug-70,Lisbon,Portugal,6-Oct-70,Lisbon,Portugal,56.01,2.7,20.48,32.83,,29.62,,,,,0.77,2.44,15,28,201,4480,8.4,6277,4853.5,1423.5,640.3,44.3,4654,1163,,,,Roy Anderson,Ted Gustafson,,Kenneth Hsu & William Ryan
GLOMAR CHALLENGER,14,West Africa and Northern South America Sedimentation and Structural Evolution,6-Oct-70,Lisbon,Portugal,1-Dec-70,San Juan,Puerto Rico,56,,,,,,,,,,,,10,18,98,5420,,4993,4242,751,406.78,54,,,,,,Dell Redding,Michael Lehman,,Dennis Hayes & Anthony Pimm
GLOMAR CHALLENGER,15,Caribbean Sea Age and History,1-Dec-70,San Juan,Puerto Rico,2-Feb-71,Cristobal,Panama,62.9,9.33,18.38,35.19,,27.04,,6.15,,,0.98,1.02,10,15,264,4083,9.26,4410,2079,2331,1233.4,52.9,4545,892,,,,Roy Anderson,Robert Iuliucci,,N. Terence Edgar & John Saunders
GLOMAR CHALLENGER,16,Panama Basin Depositional History,2-Feb-71,Cristobal,Panama,30-Mar-71,Honolulu,USA,56.16,3.18,26.46,26.52,,23.47,,0.98,,,0.59,1.56,9,12,207,6411,10.63,2513,752,1761,1259.8,71.5,5330,1963,,,,Dell Redding,Michael Lehman,,G. Ross Heath & Tjeerd van Andel
GLOMAR CHALLENGER,17,Central Pacific Seamounts and Oceanic Crustal Age,30-Mar-71,Honolulu,USA,25-May-71,Honolulu,USA,55.88,4.68,20.49,30.7,,28.51,,,,,0.38,1.81,8,10,248,4783,9.16,3250,879,2371,904.6,38.2,5792,2295,,,,Thomas Maxwell,Ted Gustafson,,John Ewing & Edward Winterer
GLOMAR CHALLENGER,18,"Gorda, Juan de Fuca, and Explorer Ridge Subduction Zones",25-May-71,Honolulu,USA,19-Jul-71,Kodiak,USA,55.02,3.93,19.52,31.26,0.31,28.6,,,,,1.37,1.29,11,15,280,4026.5,8.9,4166,1683,2483,1215,48.9,4933,197,,,Oscar Weser,Lamar Hayes,Robert Iuliucci,,LaVerne Kulm & Roland von Huene
GLOMAR CHALLENGER,19,North Pacific Cenozoic and Mesozoic Sedimentation History,20-Jul-71,Kodiak,USA,13-Sep-71,Yokohama,Japan,55.16,3.15,20.33,31.6,,30.38,,,,,0.4575,0.764166667,11,16,256,4341,8.58,9969,7783,2186,1062.1,48.6,4821,1920,,,Peter Supko,Thomas Maxwell,Michael Lehman,,Joe Creager & David Scholl
GLOMAR CHALLENGER,20,West Pacific Abyssal Geologic History,13-Sep-71,Yokohama,Japan,10-Nov-71,Suva,Fiji,57.8,4.37,24.61,28.46,,20.98,,,,,5.41,2.07,9,13,55,5269,9.2,3171,2698,473.5,161,34,6194,5754,,,,Lamar Hayes,Ted Gustafson,,Bruce Heezen & Ian MacGregor
GLOMAR CHALLENGER,21,Tasman Sea Tectonic History,10-Nov-71,Suva,Fiji,11-Jan-72,Darwin,Australia,62.29,5.56,23.45,25.63,,23.84,,,,,7.69,1.75,8,14,288,6503,9.15,4707,2133,2574,1388.6,53.9,5364,1399,,,,Theodore Bangs,Michael Lehman,,James Andrews & Robert Burns
GLOMAR CHALLENGER,22,Indian Ocean Age and Formation,11-Jan-72,Darwin,Australia,6-Mar-72,Colombo,Sri Lanka,55,2.42,24.52,28.06,,26.56,,,,,0.15,1.31,8,11,275,5724,9.88,4633,2090,2543,1379.7,55,6243,1665,,,,Lamar Hayes,Ted Gustafson,,John Sclater & Christopher von der Borch
GLOMAR CHALLENGER,23,Arabian and Red Sea Stratigraphic Record,6-Mar-72,Colombo,Sri Lanka,1-May-72,Djibouti,Djibouti,55.92,2.48,22.63,30.81,,27.84,,,,,0.27,2.71,12,14,308,4866,9.17,5393,2808,2594,1426.9,55,4679,851,,,,Theodore Bangs,Robert Iuliucci,,David Ross & Oscar Weser & Robert Whitmarsh
GLOMAR CHALLENGER,24,Gulf of Aden Oceanic Development,1-May-72,Djibouti,Djibouti,26-Jun-72,Port Louis,Mauritius,55.625,1.66,2.41,23.27,,26.87,,,,,0.93,0.49,8,11,349,5435.9,8.92,4453.5,1259.5,3194,1994.1,62.4,5146,1640,,,,Lamar Hayes,Michael Lehman,,Elizabeth Bunce & Robert Fisher
GLOMAR CHALLENGER,25,Indian Ocean Geologic and Oceanographic History,26-Jun-72,Port Louis,Mauritius,22-Aug-72,Durban,South Africa,57.1,2.6,28.1,26.4,,24,,,,,0.3,2.1,11,13,171,5408,8.5,4253,2859,1394,790.3,56.7,5082,944,,,,John Shore,Ted Gustafson,,Roland Schlich & E.S.W. Simpson
GLOMAR CHALLENGER,26,Indian Ocean Formation and Evolution,22-Aug-72,Durban,South Africa,30-Oct-72,Fremantle,Australia,68.76,14.92,25.44,28.38,,25.38,,,,,1.38,1.62,9,12,246,5695.9,9.26,3893,1695,2234,1184.85,51.4,5371,1154,,,,Lamar Hayes,Michael Lehman,,Thomas Davies & Bruce Luyendyk
GLOMAR CHALLENGER,27,Eastern Indian Ocean Basement and Paleoenvironment,30-Oct-72,Fremantle,Australia,20-Dec-72,Fremantle,Australia,51.01,13.55,16.31,21.15,,19.38,,,,,0.69,1.08,5,5,176,3736,9.54,2444.5,874,1570.5,960.3,61.1,5709,2315,,,,Carl Morris,Ted Gustafson,,James Heirtzler & John Veevers
GLOMAR CHALLENGER,28,Antarctic Glacial and Geologic History,20-Dec-72,Fremantle,Australia,27-Feb-73,Christchurch,New Zealand,68.8,0.43,36.25,32.13,,29.09,,,,,1.58,1.46,11,16,329,7400.5,8.9,5645.5,2632.5,3014,1404.6,46.6,4574,505,,,Ansis Kaneps,Lamar Hayes,Robert Iuliucci,,Dennis Hayes & Lawrence Frakes
GLOMAR CHALLENGER,29,Antarctic Bottom Water and Basement,27-Feb-73,Christchurch,New Zealand,18-Apr-73,Wellington,New Zealand,50.23,3.49,22.05,24.69,,21.69,,,,,1.35,1.65,10,16,215,4245,8.02,3198.5,1290,1908.5,1181.6,61.9,4766,1078,,,,Carl Morris,Robert Olivas,,James Kennett & Robert Houtz
GLOMAR CHALLENGER,30,Southwest Pacific Arc and Marginal Sea Complex,18-Apr-73,Wellington,New Zealand,13-Jun-73,Apra Harbor,Guam,56,6.4,22.2,27.4,,23.2,,,,,1.4,2.8,5,9,250,5272.5,10.1,4140,1808,2332,1163.9,49.9,4674,2224,,,,Valdemar Larson,Ted Gustafson,,James Andrews & Gordon Packham
GLOMAR CHALLENGER,31,Sea of Japan Tectonic Evolution,13-Jun-73,Apra Harbor,Guam,4-Aug-73,Hakodate,Japan,52.3,2,18.2,32.1,,29.3,,,,,0.5,2.3,13,17,285,4111.5,9.9,6272.5,3661,2611.5,1233.5,47.2,6057,2399,,,Stan White,John Shore,Michael Lehman,,James Ingle & Daniel Karig
GLOMAR CHALLENGER,32,Pacific Ocean Basement and Tectonic Evolution,4-Aug-73,Hakodate,Japan,10-Oct-73,Honolulu,USA,67.6,11.52,21.3,34.77,,29.84,,,,,2.67,2.26,11,12,241,4712,8.7,3579.5,1369,2210.5,738.8,33.4,5708,1346,,,James Gardner,Lamar Hayes,Ted Gustafson,,Roger Larson & Ralph Moberly
GLOMAR CHALLENGER,33,Leg Hot Spot,10-Oct-73,Honolulu,USA,17-Dec-73,Papeete,Tahiti,67.7,23.7,20.5,24.1,,22.2,,,,,,1.9,5,8,184,4004,8.3,4465,2747.5,1718,883.9,51.5,5225,2622,,,Ansis Kaneps,Stanley Serocki,Robert Iuliucci,,Everett Jackson & Seymour Schlanger
GLOMAR CHALLENGER,34,Nazca Plate Basement and Metalliferous Sediments,17-Dec-73,Papeete,Tahiti,2-Feb-74,Callao,Peru,46.9,3.1,23.1,20.7,,11.3,,,,,3.2,6.2,3,6,45,4503.2,8.14,705.5,320.5,385,231.5,60.1,4927,4296,,,,Erick Jansson,Michael Lehman,Dennis Bohrer,Stanley Hart & Robert Yeats
GLOMAR CHALLENGER,35,Pacific Antarctic Basin Basement and Paleocirculation,2-Feb-74,Callao,Peru,30-Mar-74,Ushuaia,Argentina,56.3,11.6,28.2,16.5,,12.6,,,,,3,0.9,4,4,55,5239,7.7,2212,1696.5,515,192.5,37.3,5036,3755,,,,Lamar Hayes,Ted Gustafson,Paula Worstell,Campbell Craddock & Charles Hollister
GLOMAR CHALLENGER,36,Atlantic Antarctic Basin Magnetic Anomalies and Paleocirculation,30-Mar-74,Ushuaia,Argentina,22-May-74,Rio de Janeiro,Brazil,52.61,4.52,24.93,20.65,2.51,13.4,,,,,7.25,,6,10,107,4653.4,7.78,2480,1474,1006,578.7,57.5,5103,1531.5,,,,Otis Moore,Michael Lehman,,Peter Barker & Ian Dalziel
GLOMAR CHALLENGER,37,Mid-Atlantic Ridge Oceanic Crust,22-May-74,Rio de Janeiro,Brazil,29-Jul-74,Dublin,Ireland,67.67,6.63,26.24,34.8,,23.77,,2.06,,,2.48,6.49,4,9,156,5987,9.5,3191,1414.5,1776.5,405.8,22.8,3198,1680,,,Paul Robinson,David Edmiston,Gerald Bode,James Harrington,Fabrizio Aumento & William Melson
GLOMAR CHALLENGER,38,Norwegian-Greenland Sea Tectonics and Glaciation,29-Jul-74,Dublin,Ireland,25-Sep-74,Amsterdam,Netherlands,58.46,4.16,22.44,31.86,,14.27,,,,,3.96,13.63,17,17,354,4285.8,8.95,5278,2041.5,3236.5,1804.7,55.8,3216,741,,,Stan White,M. D. Pennock,Ted Gustafson,,Manik Talwani & Gleb Udintsev
GLOMAR CHALLENGER,39,West Atlantic Paleocirculation,25-Sep-74,Amsterdam,Netherlands,17-Dec-74,Cape Town,South Africa,82.58,12.13,43.18,27.27,,24.45,,,,,1.36,1.46,7,11,165,9849,9.5,4660,3126,1535,1057.05,68.86,5177,1668,,,Peter Supko,David Edmiston,Michael Lehman,,Katharina Perch-Nielsen & Peter Supko
GLOMAR CHALLENGER,40,Southeast Atlantic Continental Margin,17-Dec-74,Cape Town,South Africa,15-Feb-75,Abidjan,Ivory Coast,60.1,8.6,17.1,34.4,,32.2,,,,,0.5,1.7,6,7,249,3549,9,6528,4189.5,2338.5,1501.6,64.2,4557.5,1336,,,James Natland,Glen Foss,Ted Gustafson,,Hans Bolli & William Ryan
GLOMAR CHALLENGER,41,Evolution of the Eastern Basins of the North Atlantic,15-Feb-75,Abidjan,Ivory Coast,10-Apr-75,Malaga,Spain,53.9,2.52,16.56,34.82,,32.39,,,,,0.95,1.48,5,7,300,3344.5,8.5,5062,2276,2786,1672.95,60.04,4758,1770,,,James Gardner,Robert Knapp,Michael Lehman,,Yves Lancelot & Eugen Seibold
GLOMAR CHALLENGER,42,Pre-Messinian History of the Mediterranean,10-Apr-75,Malaga,Spain,11-Jun-75,Istanbul,Turkey,61.9,4.31,16.73,40.86,,36.22,,,,,0.53,4.09,11,17,401,4010,8.53,7199.5,3689.3,3510.2,1945,55.4,4090,1750.5,,,Robert Kidd/Peter Supko,M. D. Pennock,Gerald Bode,,Kenneth Hsu & Lucien Montadert & David Ross & Yuri Neprochnov
GLOMAR CHALLENGER,43,Deep Western North Atlantic Basin,11-Jun-75,Istanbul,Turkey,12-Aug-75,Norfolk,USA,61.4,3.8,34.7,22.9,,21.1,,,,,0.6,1.2,6,6,189,7125,7.7,3131.7,1363.2,1768.5,957.9,54.2,5537,3920,,,Ansis Kaneps,Glen Foss,Ted Gustafson,,Brian Tucholke & Peter Vogt
GLOMAR CHALLENGER,44,Western North Atlantic Paleoenvironment,12-Aug-75,Norfolk,USA,30-Sep-75,Norfolk,USA,49.13,4.1,10.8,34.2,,24.2,,3,,,1.3,5.7,5,11,149,2243,8.64,3366.5,2024,1342.5,546.81,40.7,4981,2606.5,,,Paula Worstell,Robert Knapp,Donald Marsee,Jean Westberg,William Benson & Robert Sheridan
GLOMAR CHALLENGER,44A,"Engineering Trials, Re-entry and Casing",4-Nov-75,Norfolk,USA,27-Nov-75,San Juan,Puerto Rico,23.1,2.3,8,12.8,,5.1,,2.5,,,2.9,2.3,2,5,8,1463,8.9,619.5,545,74.5,31.1,41.7,4961.5,4961.5,,,,Glen Foss,,,William Benson
GLOMAR CHALLENGER,45,Mid-Atlantic Ridge Oceanic Crust,27-Nov-75,San Juan,Puerto Rico,20-Jan-76,San Juan,Puerto Rico,53.9,2.4,12.4,39.1,,27.3,,6.1,,,1.9,3.8,2,3,112,2613,9.12,1070.23,76.15,994.08,327.61,32.96,4527,4460,,,James Natland,Valdemar Larson,Michael Lehman,Adele Caldara,William Melson & Philip Rabinowitz
GLOMAR CHALLENGER,46,Mid-Atlantic Ridge Oceanic Crust,20-Jan-76,San Juan,Puerto Rico,10-Mar-76,Las Palmas,Canary Islands,50.05,8.05,14.6,27.4,,13.8,,3.24,,,2.36,8,1,2,35,2934.8,8.4,529,356.5,283,64.2,22.6,4465,4465,,,R. James Kirkpatrick,Robert Knapp,Gerald Bode,Anthony Gorody,Leonid Dmitriev & James Heirtzler
GLOMAR CHALLENGER,47,Deep African & Iberian Continental Margin,10-Mar-76,Las Palmas,Canary Islands,12-May-76,Brest,France,62.5,10.14,9.81,42.55,,33.5,,1.3,,,4,3.8,2,7,301,1824,8.6,4849.5,2040,2809.5,1812.5,64.5,3900,2910,,,Oscar Weser,Glen Foss,Ted Gustafson,Patricia Paluso/Linda Garifal,William Ryan & Jean-Claude Sibuet & Ulrich von Rad
GLOMAR CHALLENGER,48,Passive Margin Paleoenvironments,12-May-76,Brest,France,13-Jul-76,Aberdeen,Scotland,61.86,9.65,11.41,40.8,,29.59,,0.54,,,2.37,8.3,8,10,318,1935.4,8.7,3992,910.5,2995.5,1230.22,41.06,4414,2317,,,Robert Thompson,Robert Knapp,Michael Lehman,Steve Richards,Lucien Montadert & David Roberts
GLOMAR CHALLENGER,49,North Atlantic Magmatism and Glaciation,13-Jul-76,Aberdeen,Scotland,4-Sep-76,Funchal,Madeira Islands,53.47,6.92,23.8,22.75,,16.99,,,,,1.99,3.77,8,10,207,4717.6,8.3,2679.5,736,1943.5,881.43,45.35,2987,842,,,George Sharman,Donald Collins,Ted Gustafson,Barbara Long,Joe Cann & Bruce Luyendyk
GLOMAR CHALLENGER,50,Early Atlantic Ocean Evolution,4-Sep-76,Funchal,Madeira Islands,10-Nov-76,Funchal,Madeira Islands,66.49,7.53,7.28,51.68,,33.1,2.9,6.8,,,4.5,4.4,2,5,80,1334,8.1,3062,2354.7,707.3,357.6,50.6,4203,2817,,,Robert Boyce,Glen Foss,Gerald Bode,Trudy Wood,Yves Lancelot & Edward Winterer
GLOMAR CHALLENGER,51,Atlantic Ocean Basement Transitions I,10-Nov-76,Funchal,Madeira Islands,17-Jan-77,San Juan,Puerto Rico,68.24,14.88,21.67,28.97,,19.86,1.4,3.6,,,5.34,4.1,1,5,96,4624.2,9.27,1116.5,323.9,801.1,460.91,57.46,5489,5478.2,,,Matthew Salisbury,Robert Knapp,Ted Gustafson,Linda Garifal,Thomas Donnelly & Jean Francheteau
GLOMAR CHALLENGER,52,Atlantic Ocean Basement Transitions II,17-Jan-77,San Juan,Puerto Rico,9-Mar-77,San Juan,Puerto Rico,51.01,3.82,4.5,41.3,,28.5,,6.1,,,2.2,5.8,2,3,71,878.7,8.4,819.5,187,566,335.31,59.2,5519,5519,,,Stan White,Robert Knapp,Burnette Hamlin,Steve Richards,Wilfred Bryan & Paul Robinson
GLOMAR CHALLENGER,53,Atlantic Ocean Basement Transitions III,9-Mar-77,San Juan,Puerto Rico,25-Apr-77,Cristobal,Panama,47.33,4.34,8.87,34.12,,21.5,,3.8,,,4.2,4.7,1,2,73,1867,8.95,626.9,0,626.9,405.7,64.7,5523,5519,,,Dennis Bohrer,Glen Foss,Ted Gustafson,Dennis Bohrer,Martin Flower & Hubert Staudigel
GLOMAR CHALLENGER,54,East Pacific Rise Fast Spreading,25-Apr-77,Cristobal,Panama,18-Jun-77,Los Angeles,USA,53.7,3.9,31.3,17.8,,14.9,,,,,1.2,2.4,11,18,102,6567.5,9.05,1282,435,847,461.37,54.5,3848,2617,,,James Natland,Robert Knapp,James Pine,William Brennan,Rogert Hekinian & Bruce Rosendahl
GLOMAR CHALLENGER,55,Hawaiian-Emperor Seamount Chain,18-Jun-77,Los Angeles,USA,6-Sep-77,Yokohama,Japan,80.03,0.96,36.29,18.5,,14.39,,1.75,,,0.15,24.28,4,11,104,7862,9.73,1230.5,424,806.5,404.5,50.15,1874,1320,,,R. James Kirkpatrick,V. Barry Robson,Ted Gustafson/Burnette Hamlin,Kathleen O'Neill,E. Dale Jackson & Itaru Koizumi
GLOMAR CHALLENGER,56,Japan Trench Transect I,6-Sep-77,Yokohama,Japan,10-Oct-77,Tokyo,Japan,34.05,4.2,6.15,23.7,,17.5,,,,,4.3,1.6,4,7,142,1165.2,8.01,2050,736,1322.5,496.78,37.5,6000.5,3413,,,Charles Adelseck,V. Barry Robson,Richard Myers,James Harrington,Marcus Langseth & Hakuyu Okada
GLOMAR CHALLENGER,57,Japan Trench Transect II,10-Oct-77,Tokyo,Japan,4-Dec-77,Yokohama,Japan,55.1,7.35,6.37,41.33,,24.9,4.4,1.1,,,7.5,2.7,4,10,273,1302,9.1,5832.7,3308.8,2523.9,1423.7,56.4,5665,1557.5,,,Michael Arthur,Glen Foss,Michael Lehman,Linda Garifal,Roland von Huene & Noriyuki Nasu
GLOMAR CHALLENGER,58,Philippine Sea Active Oceanic Margins,4-Dec-77,Yokohama,Japan,30-Jan-78,Naha,Japan,56.8,7.04,9,40.76,,34.82,,0.55,,,3.3,1.55,5,9,324,1771,7.25,3759.5,721.5,2971.5,1591.82,53.5,4980,3382,,,Stan White,Robert Knapp,Ted Gustafson,William Mills,George deVries Klein & Kazuo Kobayashi
GLOMAR CHALLENGER,59,South Philippine Sea Island Arcs and Inter-arc Basins,30-Jan-78,Naha,Japan,15-Mar-78,Apra Harbor,Guam,43.94,3.97,8.2,31.38,,27.1,,,,,1.7,2.3,5,7,322,1643.5,8,3226,427.5,2798.5,1162.1,41.5,6031,2086,,,John Usher,Glen Foss,Michael Lehman,Kathleen O'Neill,Loren Kroenke & Robert Scott
GLOMAR CHALLENGER,60,Marianas Arc Transect,15-Mar-78,Apra Harbor,Guam,15-May-78,Apra Harbor,Guam,61.15,7.11,12.08,41.96,,33.3,6.39,,,,0.75,1.52,10,17,293,2445,8.76,2831,115,2716,832.99,30.6,7044,2647,,,James Natland,Robert Knapp,Ted Gustafson,James Harrington,Donald Hussong & Seiya Uyeda
GLOMAR CHALLENGER,61,Central Pacific Oldest Oceanic Crust,15-May-78,Apra Harbor,Guam,29-Jul-78,Majuro,Marshall Islands,74.98,11.28,11.95,51.75,,34.5,3.7,4,,,7.4,2.1,1,2,161,2449,8.25,1685.5,440,1245.5,665.7,58.9,5189,5186,,,Robert Boyce,Glen Foss,Gerald Bode,William Mills,Seymour Schlanger & Robert Larson
GLOMAR CHALLENGER,62,North Pacific Paleoceanography,30-Jul-78,Majuro,Marshall Islands,6-Sep-78,Honolulu,USA,39.8,0.3,19.92,19.85,,16.32,,,,,2.33,2.2,4,5,218,3933.6,,2015,39,1976,635.27,32.1,4670,2165.6,,,Charles Adelseck,Robert Knapp,Michael Lehman,William Mills,Jorn Thiede & Tracy Vallier
GLOMAR CHALLENGER,63,Channel Islands Paleoenvironment,6-Sep-78,Honolulu,USA,27-Nov-78,Mazatlan,Mexico,81.69,20.33,20.89,37.71,2.76,28.4,4.2,,,,0.8,4.3,7,11,398,4288.2,8.8,3919,272.3,3640.8,1522.8,41.8,3847.5,1752,,,Kenneth Pisciotto,Glen Foss,Ted Gustafson,Kathleen O'Neill,Bilal Haq & Robert Yeats
GLOMAR CHALLENGER,64,Guaymas Basin I,27-Nov-78,Mazatlan,Mexico,14-Jan-79,Los Angeles,USA,48.08,3.97,11.92,32.19,,24.02,4.58,,,,0,3.77,8,14,344,2002.2,8.46,3462.3,526.3,2936,1631.35,55.56,3043,674.5,,,Kerry Kelts,Henri Martial,Donald Cameron,,Joseph Curray & David Moore
GLOMAR CHALLENGER,65,Guaymas Basin II,14-Jan-79,Los Angeles,USA,13-Mar-79,Mazatlan,Mexico,57.7,5.9,5.5,46.3,,32.1,3.3,2.4,,,2.1,6.4,4,15,179,1036.4,7.7,2003,680,1323,750.43,56.7,3084,2899.5,,,Matthew Salisbury,Robert Knapp,Ted Gustafson,Kathleen O'Neill,Brian Lewis & Paul Robinson
GLOMAR CHALLENGER,66,East Pacific Continental Margin Structure,13-Mar-79,Mazatlan,Mexico,2-May-79,Manzanillo,Mexico,50.36,6.13,5.45,38.78,,32.7,1.7,,,,2.1,4.4,8,14,353,1159.4,9.2,3611,456,3155,1844.1,58.5,5157,670,,,Thomas Shipley,Glen Foss,Burnette Hamlin,William Mills,Casey Moore & Joel Watkins
GLOMAR CHALLENGER,67,Guatamala Trench Subduction Convergence,2-May-79,Manzanillo,Mexico,27-Jun-79,Puntarenas,Costa Rica,56,6.8,8.9,40.3,,29,3.5,,,,2,5.8,7,15,254,1596.9,7.52,3463.5,1147.5,2315.5,1181.27,51,6132,2064,,,William Coulbourn,Robert Knapp,Ted Gustafson,Kathleen O'Neill,Jean Aubouin & Roland von Huene
GLOMAR CHALLENGER,68 - Site 501,Galapagos Spreading Center Young Oceanic Crust,27-Jun-79,Puntarenas,Costa Rica,19-Jul-79,Balboa,Panama,21.23,7.69,5.9,7.64,,3.35,3.68,,,,0.24,0.36,1,1,20,1047.9,,337.1,190,147.1,74.5,50.7,3466.9,3466.9,,,James Natland,Glen Foss,Michael Lehman,William Mills,Joe Cann & Stan White
GLOMAR CHALLENGER,68,Neogene History of the Western Caribbean and Eastern Equatorial Pacific,13-Aug-79,Willemstad,Curacao,18-Sep-79,La Libertad,Ecuador,35.7,4.6,13.3,17.8,,17.21,,,,,,0.6,2,7,259,2935.3,9.4,1109.5,98,1011.5,786.67,77.8,3678.5,3051.5,,,Charles Adelseck,Robert Knapp,Michael Lehman/Ted Gustafson,William Mills/Amy Altman,James Garner & Warren Prell
GLOMAR CHALLENGER,69,Costa Rica Rift Active Spreading Center,18-Sep-79,La Libertad,Ecuador,29-Oct-79,Balboa,Panama,40.98,0.56,4.27,36.15,,20.2,7.1,4.7,,,2.2,1.9,2,7,91,941,9.3,1851,1067,507,260.3,51.3,3548.5,3468,,,James Natland,Glen Foss,Ted Gustafson,Amy Altman,Joe Cann & Marcus Langseth
